,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
271,GILOTRIF,adverse reactions,exact-meddra,42,73,42,,0,,1.0,
272,GILOTRIF,adverse reactions,non-meddra,7,73,0,,7,,0.0,
273,GILOTRIF,adverse reactions,discontinuous,1,73,0,,1,,0.0,
274,GILOTRIF,warnings and precautions,all,39,44,19,25.0,20,0.4318181818181818,0.48717948717948717,0.45783132530120485
275,GILOTRIF,warnings and precautions,exact-meddra,20,44,19,,1,,0.95,
276,GILOTRIF,warnings and precautions,non-meddra,19,44,0,,19,,0.0,
277,GILOTRIF,warnings and precautions,discontinuous,6,44,0,,6,,0.0,
278,GILOTRIF,all-concat,all,80,105,57,48.0,23,0.5428571428571428,0.7125,0.6162162162162163
279,GILOTRIF,all-concat,exact-meddra,58,105,57,,1,,0.9827586206896551,
280,GILOTRIF,all-concat,non-meddra,22,105,0,,22,,0.0,
281,GILOTRIF,all-concat,discontinuous,7,105,0,,7,,0.0,
282,TREANDA,adverse reactions,all,123,153,90,63.0,33,0.5882352941176471,0.7317073170731707,0.6521739130434783
283,TREANDA,adverse reactions,exact-meddra,99,153,89,,10,,0.898989898989899,
284,TREANDA,adverse reactions,non-meddra,24,153,1,,23,,0.041666666666666664,
285,TREANDA,adverse reactions,negated,1,153,0,,1,,0.0,
286,TREANDA,adverse reactions,discontinuous,14,153,1,,13,,0.07142857142857142,
287,TREANDA,warnings and precautions,all,51,65,26,39.0,25,0.4,0.5098039215686274,0.4482758620689655
288,TREANDA,warnings and precautions,exact-meddra,27,65,26,,1,,0.9629629629629629,
289,TREANDA,warnings and precautions,non-meddra,24,65,0,,24,,0.0,
290,TREANDA,warnings and precautions,discontinuous,4,65,0,,4,,0.0,
291,TREANDA,all-concat,all,154,185,102,83.0,52,0.5513513513513514,0.6623376623376623,0.6017699115044248
292,TREANDA,all-concat,exact-meddra,111,185,101,,10,,0.9099099099099099,
293,TREANDA,all-concat,non-meddra,43,185,1,,42,,0.023255813953488372,
294,TREANDA,all-concat,negated,1,185,0,,1,,0.0,
295,TREANDA,all-concat,discontinuous,18,185,1,,17,,0.05555555555555555,
296,CHOLINE,adverse reactions,all,1,5,1,4.0,0,0.2,1.0,0.33333333333333337
297,CHOLINE,adverse reactions,exact-meddra,1,5,1,,0,,1.0,
298,CHOLINE,warnings and precautions,all,4,19,2,17.0,2,0.10526315789473684,0.5,0.17391304347826086
299,CHOLINE,warnings and precautions,exact-meddra,2,19,2,,0,,1.0,
300,CHOLINE,warnings and precautions,non-meddra,2,19,0,,2,,0.0,
301,CHOLINE,all-concat,all,5,22,3,19.0,2,0.13636363636363635,0.6,0.22222222222222218
302,CHOLINE,all-concat,exact-meddra,3,22,3,,0,,1.0,
303,CHOLINE,all-concat,non-meddra,2,22,0,,2,,0.0,
304,ERWINAZE,adverse reactions,all,32,48,18,30.0,14,0.375,0.5625,0.45
305,ERWINAZE,adverse reactions,exact-meddra,19,48,18,,1,,0.9473684210526315,
306,ERWINAZE,adverse reactions,non-meddra,13,48,0,,13,,0.0,
307,ERWINAZE,adverse reactions,negated,6,48,1,,5,,0.16666666666666666,
308,ERWINAZE,adverse reactions,discontinuous,4,48,0,,4,,0.0,
309,ERWINAZE,warnings and precautions,all,15,26,8,18.0,7,0.3076923076923077,0.5333333333333333,0.3902439024390244
310,ERWINAZE,warnings and precautions,exact-meddra,8,26,8,,0,,1.0,
311,ERWINAZE,warnings and precautions,non-meddra,7,26,0,,7,,0.0,
312,ERWINAZE,warnings and precautions,discontinuous,5,26,0,,5,,0.0,
313,ERWINAZE,all-concat,all,41,61,22,39.0,19,0.36065573770491804,0.5365853658536586,0.43137254901960786
314,ERWINAZE,all-concat,exact-meddra,23,61,22,,1,,0.9565217391304348,
315,ERWINAZE,all-concat,non-meddra,18,61,0,,18,,0.0,
316,ERWINAZE,all-concat,negated,6,61,1,,5,,0.16666666666666666,
317,ERWINAZE,all-concat,discontinuous,9,61,0,,9,,0.0,
318,TRULICITY,adverse reactions,all,48,68,30,38.0,18,0.4411764705882353,0.625,0.5172413793103449
319,TRULICITY,adverse reactions,exact-meddra,30,68,30,,0,,1.0,
320,TRULICITY,adverse reactions,non-meddra,18,68,0,,18,,0.0,
321,TRULICITY,adverse reactions,discontinuous,7,68,0,,7,,0.0,
322,TRULICITY,warnings and precautions,all,17,43,10,33.0,7,0.23255813953488372,0.5882352941176471,0.3333333333333333
323,TRULICITY,warnings and precautions,exact-meddra,8,43,8,,0,,1.0,
324,TRULICITY,warnings and precautions,non-meddra,9,43,2,,7,,0.2222222222222222,
325,TRULICITY,warnings and precautions,discontinuous,2,43,0,,2,,0.0,
326,TRULICITY,boxed warnings,all,5,13,0,13.0,5,0.0,0.0,
327,TRULICITY,boxed warnings,non-meddra,5,13,0,,5,,0.0,
328,TRULICITY,boxed warnings,discontinuous,2,13,0,,2,,0.0,
329,TRULICITY,all-concat,all,55,96,33,63.0,22,0.34375,0.6,0.4370860927152318
330,TRULICITY,all-concat,exact-meddra,31,96,31,,0,,1.0,
331,TRULICITY,all-concat,non-meddra,24,96,2,,22,,0.08333333333333333,
332,TRULICITY,all-concat,discontinuous,9,96,0,,9,,0.0,
333,ADREVIEW,adverse reactions,all,11,19,6,13.0,5,0.3157894736842105,0.5454545454545454,0.39999999999999997
334,ADREVIEW,adverse reactions,exact-meddra,8,19,6,,2,,0.75,
335,ADREVIEW,adverse reactions,non-meddra,3,19,0,,3,,0.0,
336,ADREVIEW,adverse reactions,discontinuous,3,19,0,,3,,0.0,
337,ADREVIEW,warnings and precautions,all,4,44,1,43.0,3,0.022727272727272728,0.25,0.04166666666666667
338,ADREVIEW,warnings and precautions,exact-meddra,1,44,1,,0,,1.0,
339,ADREVIEW,warnings and precautions,non-meddra,3,44,0,,3,,0.0,
